;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0048;0.0072;0.012;0.0204;0.0312;0.0492;0.0744;0.1104;0.2304;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
ES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.0096;0.0156;0.0252;0.0384;0.0588;0.08639999999999999;0.1812;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
EU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.0096;0.0156;0.0252;0.0384;0.0588;0.08639999999999999;0.1812;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
JAP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.0096;0.0156;0.0252;0.0384;0.0588;0.08639999999999999;0.1812;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
RUS;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.0096;0.0156;0.0252;0.0396;0.06119999999999999;0.0936;0.138;0.28919999999999996;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
EUR;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.0096;0.0156;0.0252;0.0396;0.06119999999999999;0.0936;0.138;0.28919999999999996;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
CHI;0.0;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0048;0.0084;0.0144;0.022799999999999997;0.036;0.0564;0.08519999999999998;0.12719999999999998;0.2652;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
IND;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.010799999999999999;0.018;0.0288;0.044399999999999995;0.0672;0.0984;0.20639999999999997;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
MEST;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0036;0.0072;0.012;0.0192;0.03;0.0468;0.07079999999999999;0.10439999999999999;0.21719999999999998;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
AFR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012;0.0012;0.0012;0.0012;0.0012;0.0024;0.0036;0.006;0.010799999999999999;0.018;0.0288;0.044399999999999995;0.0672;0.0984;0.20639999999999997;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
