US,64311489.009173,55405481.754159,46488466.823313,38157493.621924,30742727.190345,24278037.966006,18689329.803360,13901509.060686,9857198.218072,6523482.345230,3878581.367058,1915271.286214,635783.630280,-0.481600
ES,63817096.027076,54817286.149405,45991369.415855,37812532.152250,30497853.949557,24103409.532624,18566159.105331,13816702.031272,9800906.487463,6488813.437200,3859482.435038,1906418.067199,632924.950728,-154.768332
EU,64310707.736775,55404747.643371,46487872.525849,38157038.655020,30742383.460746,24277781.303332,18689140.517140,13901372.427250,9857102.482396,6523422.237411,3878549.032918,1915256.761921,635779.122512,-0.928432
JAP,64299615.939237,55396793.301533,46481836.088298,38152327.127960,30738789.785546,24275143.185857,18687232.979257,13900026.658096,9856187.846422,6522853.330160,3878239.180040,1915117.087453,635736.973699,-3.141340
RUS,64283600.809254,55386019.187884,46474482.148161,38147427.588814,30735500.357292,24272884.703313,18685695.772360,13898999.016686,9855521.661315,6522461.928872,3878041.153298,1915034.823033,635715.228454,-2.060317
EUR,64248789.150493,55366375.301369,46463591.925654,38141475.133785,30732240.790354,24271140.275700,18684820.415064,13898607.358097,9855386.570995,6522432.241006,3878041.285650,1915040.259578,635717.602155,-2.657945
CHI,64310094.789352,55404732.834883,46488061.194982,38157270.203779,30742603.955586,24277977.534345,18689301.670839,13901496.344846,9857191.596622,6523480.754764,3878582.853491,1915272.867402,635784.394120,-0.306432
IND,64299868.322212,55399401.940761,46485261.969168,38155798.304804,30741798.209307,24277521.502962,18689047.471519,13901359.151809,9857122.156300,6523446.598883,3878566.598978,1915266.345366,635782.584278,-0.440200
MEST,64302686.838993,55400922.523609,46486024.158080,38156158.286714,30741959.260372,24277589.905279,18689074.024996,13901368.775984,9857126.273240,6523445.437811,3878562.566420,1915263.240339,635781.365440,-0.431454
AFR,64308479.907919,55411590.926454,46497484.836327,38166704.830989,30750979.777218,24285061.630598,18695183.865325,13906324.474168,9861124.367508,6526658.083422,3881137.816216,1917324.911186,637430.652106,1318.680989
LAM,64353675.376859,55440632.713105,46517347.075877,38180999.495692,30761742.281822,24293375.166016,18701677.565501,13911436.542008,9865171.709506,6529882.027819,3883714.694748,1919386.065762,639079.791119,2638.133649
OHI,64301310.198530,55398929.355249,46484040.108575,38154397.857887,30740501.188036,24276421.440451,18688171.094420,13900697.133837,9856649.738772,6523141.930752,3878395.565964,1915187.295230,635758.270064,-1.634992
OTH,3.816112,6.405735,10.210960,15.373288,21.794262,29.048072,36.433872,42.834522,46.796190,46.679732,41.091772,29.961196,15.190241,0.105655
